decade,year,number,author,title,generic subtitle,source,exclusion,words,mode,temporality I,temporality II,characters (RW),truth(RW),truth place,person,1st person type,inset,1st-person insets?,titled insets?,# 1P insets,pages 1P insets,# 3P insets,pages 3P insets,pages total,segmentation,numb. Segs.,(1) authorial,(2) sententious,(3) character description,(4) location/period description,(5) Action,(5s) speech type,order 1,
1600s,1601,1,An,"Fantaisies amoureuses, ou sont décrites les amours d'Alerio et Mariane",0,BNF Arsenal,0,83,rw,con,,nobodies,ind,,1,frame,i6,n,n,,,,,,0,,,,,,,,,
1600s,1601,2,An,"Les tragiques amours du fidel Yrion et de la belle Pasithée, où se voit combien peut un' amour honorablement et saintement poursuivie: et comme se termine celle qui a ses intentions impudiques",0,BNF Arsenal,0,33,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,3,Bazire,Les amours d'Amynthio et de la belle Odylie,0,BNF Tolbiac,0,17,rw,his,vague,nobodies,ind,,3,,i4,n,y,,,,,,0,,,,,,,,,
1600s,1601,4,Bazire,La Bergere de la Palestine,0,BNF Arsenal,0,34,rw,his,myth,somebodies,,,3,,i4,y,n,,,,,,0,,,,,,,,,
1600s,1601,5,Corbin,"Les amours de Philocaste, où par mille beaux et rares accidents, il se voit que les variables hasards de la Fortune ne peuvent rien sur la constance de l'amour",0,BNF Arsenal,0,24,rw,his,vague,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,6,Des Escuteaux,Les heureuses et pudiques amours de Clarimond et Antonide,0,BNF Arsenal,0,37,rw,con,,nobodies,fact,incipit,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,7,Des Escuteaux,Les infortunées et chastes amours de Filiris et Isolia,0,BNF Arsenal,0,57,rw,uns,,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,8,Du Perier,Les amours de Pistion,0,Googlebooks,0,25,rw,uns,,nobodies,fict,other (fake kings),3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,9,Du Souhait,"Les Propriétés d'Amour et les propriétés des Amants, contenan une histoire véritable des amours de Filine et de Ploymante",0,BNF Arsenal,0,11,rw,con,,nobodies,fact,title,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,10,Espinaud,"Les Amours de Genievre et d'Ariodant, à l'imtation de l'Arioste",0,BNF Arsenal,0,16,rw,his,myth,somebodies,,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,11,Fouet,"Floriane, son Amour, sa Pénitence, et sa Mort",0,BNF Arsenal,0,26,rw,uns,,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,12,Goulart,Histoires admirables,0,,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1601,13,La Regnerye,Les Constantes et infortunées amours de Lintason avec l'infidele Pallinoé,0,BNF Arsenal,0,35,rw,con,,nobodies,fact,incipit,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,14,Nervèze,Le Triomphe de la constance où sont descrites les amours de Cloridon et de Melliflore,0,Googlebooks,0,38,rw,con,,nobodies,fact,post,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,15,Roussel,"Histoire de Cleophas et Sephora, les aventures diverses de leur amitié et leur fin glorieuse",0,BNF Arsenal,0,28,rw,his,gallia,nobodies,fact,pref,3,,i3,y,n,,,,,,0,,,,,,,,,
1600s,1602,1,An,La Constance d'Alisée et de Diane,0,BNF Arsenal,0,17,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,
1600s,1602,2,An,L'Erocaligenesie ou la Naissance d'un bel amour sous les noms de Patrocle et de Philomelle,histoire véritable et advenuë,BNF Arsenal,0,49,rw,con,,nobodies,fact,sub,3,,0,,,,,,,,0,,,,,,,,,
1600s,1602,3,An,Histoire tragique,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1602,4,Apulée,L'Ane d'or,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1602,5,Baudouin,La Conversion d'Athis et de Cloride,0,BNF Tolbiac,length,[5],,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1602,6,Des Escuteaux,Les Adventureuses fortunes d'Ipsilis et d'Alixée,0,BNF Arsenal,0,95,rw,his,vague,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,
1600s,1602,7,Du Briens?,"L'Ostracisme d'amour, ou le banissement de l'amant fidèle",0,Greiner,0,15,rw,uns,,nobodies,ind,,1,lyr,0,,,,,,,,0,,,,,,,,,
1600s,1602,8,Du Lisdam,"Histoire ionique des vertueuses et fideles amours de Philiphile Pyrenoise, et de Damis Clazomenien.",0,Gallica,0,106,rw,his,gallia,nobodies,ind,,1,narr,i4,y,n,,,,,,0,,,,,,,,,
1600s,1602,9,Guy de Tours,Les Amours de Pâris et de la nymphe Oenone,0,BNF Arsenal,0,20,rw,his,myth,somebodies,,,3,,i4,n,n,,,,,,0,,,,,,,,,
1600s,1602,10,Nervèze,"Les Advantures de Lidior où sont représentés ses faits d'armes, et ses amours",0,BNF Arsenal,0,36,rw,con,,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1603,1,An,Discours très véritable de deux meurtres,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1603,2,An,Les Divers Effects d'amour advenus à la belle Fulvia,0,BNF Arsenal,0,21,rw,his,modern,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1603,3,An,Extravagances d'amour,0,Googlebooks,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1603,4,Beaulieu?,L'Histoire de la Chiaramonte par une demoiselle française,0,BNF Arsenal,0,42,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,
1600s,1603,5,Corbin,"Le Martyre d'amour, où par la funeste fin de Cariphile et de son Amante, tous deux martyrisés, est témoigné le misérable événement d'un amour clandestin",0,BNF Tolbiac,0,33,rw,con,,nobodies,fact,incipit,3,,0,,,,,,,,0,,,,,,,,,
1600s,1603,6,Des Escuteaux,Les véritables et heureuses amours de Clidamant et de Marilinde,0,BNF Arsenal,0,32,rw,con,,nobodies,fact,"title, pref",3,,0,,,,,,,,0,,,,,,,,,
1600s,1603,7,Du Pont,L'Enfer d'amour,0,,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1603,8,Favre,"Le miroir qui représente la fidélité, sous les amours vertueuses du prince Polidon et de la belle Carite",0,BNF Arsenal,0,52,rw,his,vague,nobodies,fict,other (fake kings),3,,0,,,,,,,,0,,,,,,,,,
1600s,1603,9,Guyon,Les divers leçons de Loys Guyon,0,,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1603,10,Intras de Bazas,Le Duel de Tithamante,histoire gasconne,BNF Arsenal,0,25,rw,con,,nobodies,fact,incipit,3,,0,,,,,,,,0,,,,,,,,,
1600s,1603,11,Intras de Bazas,"Le Lict d'honneur de Chariclée, où sont introduites les infortunées et tragiques amours du comte de Melisse",0,Googlebooks,0,25,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,
1600s,1603,12,Sainte-Gemme,La Première partie du Grand Roy amoureux […],0,Googlebooks,0,60,rw,con,,somebodies,,,3,,0,,,,,,,,stances,16,,,,,,,,
1600s,1603,13,Tourniol,"Les Destinées des amans, tirées des amours de Philotimore. Où sont contenues plusieurs notables histoires de ce temps",0,BNF Arsenal,0,31,rw,his,vague,nobodies,transposed,"title, pref",3,,0,,,,,,,,0,,,,,,,,,
1600s,1603,14,Van den Bussche,Somaire des dames illustres et vertueux,0,,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1603,15,Vitely,"Les Généreuses Amours de Philopiste et de Mizophile, tous deux de la belle Avignonq",0,BNF Arsenal,0,23,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,
1600s,1604,1,An,Le Breviaire des amoureuxou l'image du vrai amant,0,Googlebooks,0,15,rw,uns,,nobodies,ind,,1,lyr,0,,,,,,,,tableaux,6,,,,,,,,
1600s,1604,2,An,Le dessert des mal soupés,1,,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1604,3,An,Discours merveilleux de ce qui s'eat passé,1,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1604,4,An,Discours tragique et lamentable,1,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1604,5,An,Discours véritable,1,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1604,6,[Chastelleraudois],Les Infortunées et chastes amours de Filerophon et de la belle de Mantouë,0,Googlebooks,0,28,rw,uns,,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1604,7,An,Supplice d'un frère et soeur,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1604,8,Chenours,Discours lamentable,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1604,9,Corbin,Les trophées de l'amour,0,BNF Arsenal,0,47,rw,con,,nobodies,fact,other (pref to annex),3,,0,,,,,,,,0,,,,,,,,,
1600s,1604,10,Durand,"Les Epines de l'amour, où sont traitées les infortunées amous de Philadon et de Caulisée",0,BNF Arsenal,0,15,rw,uns,,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1604,11,Intras de Bazas,Le Martrye de la Fidélité,0,BNF Arsenal,length,[9],,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1604,12,Intras de Bazas,Le Portraict de la vraye amante contenant les étranges avantures de Calaris et la parfaite constance de Lisbye,0,BNF Arsenal,0,37,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,
1600s,1604,13,Juliard,Les amours de l'amant converti,0,,conversation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1604,14,La Place,"La Chasteté violée ou la cruauté d'une demoiselle envers son mari, et d'un gentil-homme envers sa femme, et la juste punition de tous deux",0,BNF Arsenal,0,15,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,
1600s,1604,15,Richeome,Le Pelerin de Lorete,0,Googlebooks,non-plotted,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1605,1,An,Discours fait,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1605,2,An,Discours merveillable d'un démonn amoureux,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1605,3,An,Histoire tragique d'un gentilhomme ,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1605,4,An,Les Pudiques amours de Calistine avec ses disgraces et celles d'Angelie,0,Googlebooks,0,21,rw,his,modern,nobodies,fact,pref,3,,,,,,,,,,0,,,,,,,,,
1600s,1605,5,An,Le Romant des chevaliers de Thrace,0,BNF Tolbiac,non-plotted,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1605,6,Allard,La Gazette françoise,0,,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1605,7,Des Escuteaux,Les Amours de Lydiam et de Floriande,0,BNF Arsenal,0,32,rw,his,modern,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1605,8,Des Escuteaux,La Suitte des aventureuses fortunes d'Ypsilis et Alixée,0,,continuation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1605,9,Du Pont,Le Miroir des dames. Où les effets d'une sainte amitié sont au vif représentés,0,BNF Arsenal,0,14,rw,his,modern,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1605,10,Estival,Les Alarmes d'Amour où les efforts plus violents se voient heureusement surmontés par la fidélité de Philesmond et Pandionne,0,BNF Arsenal,0,56,rw,uns,,nobodies,ind,,3,,i4,y,n,,,,,,0,,,,,,,,,
1600s,1605,11,Faure/Favre,La Vivante Filonie,0,Googlebooks,0,16,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,
1600s,1605,12,Thomas,"L'isle des hermaphrodites nouvellement découvertes. Avec les moeurs, loix, coutumes et ordonnances des habitants d'icelle",0,Gallica,0,43,mar,,,,,,1,frame,i3,y,n,,,,,,0,,,,,,,,,
1600s,1607,1,An,Discours tres-véritable,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1607,2,An,Discours véritable,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1607,3,An,Discours véritable ,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1607,4,An,Histoires mémorables,0,,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1607,5,An,Le Tableau de la grâce,0,BNF Arsenal,length,[5],,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1607,6,Audigieur,Les Douces affections de Lydamant et Callyante,0,BNF Arsenal,0,24,rw,con,,nobodies,ind,,3,,i2,y,n,,,,,,livres,6,,,,,,,,
1600s,1607,7,Estival,La Suite des allarmes d'Amour,0,,continuation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1607,8,Laffemas,L'Histoire des amours tragiques de ce temps,0,BNF Arsenal,0,20,rw,con,,nobodies,fact,"pref, title",3,,i5,n,n,,,,,,0,,,,,,,,,
1600s,1607,9,Méré,Les amours de Coralin et d'Almerine,0,Googlebooks,0,12,rw,uns,,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1607,10,Saint-Germain,Histoire tragique des amours du brave Florimond et de la belle Clytie,0,Googlebooks,0,21,rw,uns,,nobodies,ind,,3,,0,,,,,,,,chaps,27,,,,,,,,
1600s,1607,11,Urfé,Les douzes livres de l'Astrée,0,,0,1015,rw,his,gallia,nobodies,fict,pref,3,,i1,y,y,,,,,,livres,60,,,,,,,,
1600s,1608,1,An,Discours etrange et pitoyable,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1608,2,An,Histoire des insignes faulsetez et suppostions de Francesco Fava Medecin italien,0,,canard,[11],,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1608,3,An,Histoire prodigieuse d'une jeune demoiselle de Dole,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1608,4,An,Histoire tragique arrivée en la ville d Tholose,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1608,5,An,Histoire tragique de la constance d'une dame envers son serviteur,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1608,6,Arnigio,Les veillés de Barthelemy Arnigo,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1608,7,Boufflers,Le Chois de plusieurs histoires et autres choses mémorables,0,,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1608,8,Cervantes,Le Curieux impertinent,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1608,9,Deimier,Histoire des amoureuses destinées de Lysimont et de Clitye,0,BNF Arsenal,0,49,rw,his,modern,nobodies,fact,pref,3,,i4,y,n,,,,,,chaps d,12,,,,,,,,
1600s,1608,10,Deimier,Le Printemps des lettres amoureuses,0,,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1608,11,Le sieur des Champeaux?,Discours de la pitoyable et tragique mort...,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1608,12,Du Lisdam,L'Esclavage du brave Chevalier François de Vintimille,0,Googlebooks,length,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1608,13,Nervèze,Les Advantures guerrières et amoureuses de Leandre,0,Googlebooks,0,94,rw,uns,,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1608,14,Nervèze,"La Victoire de l'amour divin sous les amours de Polidore et de Virginie, divisée en sept journées",0,BNF Arsenal,0,10,rw,con,,nobodies,ind,,3,,0,,,,,,,,journées,7,,,,,,,,
1600s,1608,15,Pérez de Hita,L'Histoire des guerres civiles de grenade,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1608,16,Renouard,Le jugement de Pâris,0,BNF Arsenal,0,12,rw,his,myth,somebodies,,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1609,1,An,Les amours de Melite et de Statiphile,0,BNF Arsenal,0,34,rw,con,,nobodies,fact,pref,1,lyr,0,,,,,,,,0,,,,,,,,,
1600s,1609,2,An,Histoire prodigieuse d'un assassinat…,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1609,3,An,Histoire tragique arrivée en la ville de Tholose,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1609,4,An,La Trompette français ou fidelle français,0,,non-plotted,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1609,5,Cervantes,Le meutre de la fidélité,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1609,6,Du Souhait,Les Chastes Destinées de Cloris ou roman des histoires de ce temps,0,Googlebooks,0,27,rw,his,modern,nobodies,transposed,title,3,,i4,y,n,,,,,,0,,,,,,,,,
1600s,1609,7,Engenville,Le Fourbisseur malencontreux,0,,length,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1609,8,Guicciardini,heures de recréation,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1609,9,Heliodorus,L'histoire ethiopique,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1609,10,La Trau,Le Pelerin d'amour divisé en quatre journées,0,BNF Arsenal,0,113,rw,con,,nobodies,ind,,3,,0,,,,,,,,journées,4,,,,,,,,
1600s,1609,11,Le Jau,Anticosme ou Adieu au monde. Sur le voyage […],0,Googlebooks,0,182,al,,,,,,3,,0,,,,,,,,sections ,1,,,,,,,,
1600s,1609,12,Maiolo,Les jours caniculaires,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1609,13,Mante,"Les Mille imaginations de Cypille, en suite des aventures amoureuses de Polidore",0,BNF Arsenal,0,24,rw,uns,,nobodies,ind,,3,,i4,y,n,,,,,,0,,,,,,,,,
1600s,1609,14,Nervèze,La Mort d'une jeune demoiselle*,0,,canard,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1609,15,Nervèze,Suite des advantures guerrieres et amoureuses de Leandre,0,,continuation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1609,16,Serclier,L'antidemon historial,0,,non-plotted,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1609,17,Veyries,La Généalogie de l'Amour,0,,conversation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1611,1,Selva,,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1611,2,Des Escuteaux,"Les Malheureuses Amours de Philandre, gentilhomme bourquignon, et de Chrisilde, Damoiselle grecque",0,BNF Arsenal,0,21,rw,his,vague,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1610s,1611,3,Favoral,La Constance d'Amour représentée au sujet des Amours et grandes aventures de Philadin et de Claristée,0,BNF Arsenal,0,48,rw,con,,nobodies,ind,,3,,i4,y,n,,,,,,0,,,,,,,,,
1610s,1611,4,Horry,Rabelais ressuscité,0,Googlebooks,0,20,mar,,,,paro,,3,,0,,,,,,,,chaps d,22,,,,,,,,
1610s,1611,5,Montemayor,Los Siete libros de la Diana,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1611,6,Piloust,"Le Cercueil des amants, où est naivement représenté le Triomphe cruel de l'Amour",0,BNF Arsenal,0,18,rw,uns,,nobodies,ind,,3,,i4,n,n,,,,,,0,,,,,,,,,
1610s,1611,7,Ranquet,"L'Exil de la volupté ou l'Histoire de Thays Egyptienne, convertie par Pafnuce",0,BNF Arsenal,0,10,rw,his,biblical,somebodies,,,3,,0,,,,,,,,0,,,,,,,,,
1610s,1611,8,Rebriviettes,"Le Philaret, divisée en deux parties, erres et Ombre",0,Googlebooks,0,64,al,,,,,,1,obs,0,,,,,,,,parties,2,,,,,,,,
1610s,1612,1,An,Histoires admirables,1,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1612,2,Du Souhait,Histoires comiques ou entretiens facétieux,0,Reprint,0,33,rw,con,,nobodies,ind,,3,,i5,n,n,,,,,,histoires,9,,,,,,,,
1610s,1612,3,Des Escuteaux,Les traversez hasards de Clidion et Armirie,0,BNF Arsenal,0,57,rw,his,gallia,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,
1610s,1612,4,Espinay,Le Théâtre des braves où sont représentées les aventures guerrières et amoureuses de Polimédor,0,BNF Arsenal,0,37,rw,con,,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1610s,1612,5,Menantel,Les chastes et pudiques amours du Marquis de Caelidor et de la belle Aemée,0,BNF Arsenal,0,16,rw,uns,,nobodies,fict,pref,3,,0,,,,,,,,0,,,,,,,,,
1610s,1612,6,Moulinet,Facécieux devis et plaisans contes,0,,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1612,7,Rosset,Le Romant des chevaliers de la gloire […],0,Googlebooks,0,80,rw,con,,somebodies,,,3,,0,,,,,,,,chaps d,49,,,,,,,,
1610s,1613,1,Decoignée de Bourron,Silène insensé ou l'estrange métamorphose des Amans fidelles. Avec les premières flammes d'un berger amoureux.,0,BNF Arsenal,0,12,rw,uns,,nobodies,fict,pref,3,,0,,,,,,,,0,,,,,,,,,
1610s,1613,2,Des Escuteaux,"Les admirables faits d'armes d'Alcestes, servant l'infidele Lydie",0,Googlebooks,0,54,rw,uns,,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1610s,1613,3,Du Souhait,"Le Romant d'Anacrine, où sont représentés plusieurs combats, Histoires véritables et amoureuses",0,Googlebooks,0,118,rw,uns,,nobodies,transposed,pref,3,,i4,y,n,,,,,,chaps d,9,,,,,,,,
1610s,1613,4,Du Souhait,"Le roman de Gloriande, ou suitte du roman Anacrine",0,BNF Arsenal,continuation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1613,5,La Faye,Tableau ou miroir des chastes et pudiques Amours du Prince Parthenophile et de la Princesse Cléonice […],0,Googlebooks,0,11,rw,uns,,nobodies,ind,,3,,0,,,,,,,,discours,6,,,,,,,,
1610s,1613,6,Mestral,Le miracle d'Amour ou l'on verra les vertus admirables d'icelui et les effects de la fortune,0,Greiner,0,27,rw,uns,,nobodies,ind,,3,,i4,y,n,,,,,,0,,,,,,,,,
1610s,1613,7,Moulinet,Les Amours de Floris et de Cléonthe,0,BNF Arsenal,0,46,rw,his,gallia,nobodies,ind,,3,,i4,y,n,,,,,,0,,,,,,,,,
1610s,1613,8,Van de Putte,"Comus, ou banquet dissolu des Cimmeriens",0,BNF Arsenal,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1613,8,Van de Putte,"Comus, ou banquet dissolu des Cimmeriens",0,BNF Arsenal,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1614,2,Arioste,Le Divin Arioste ou Roland le furieux,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1614,3,Cervantes,Les Nouvelles,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1614,3,Cervantes,Les Nouvelles,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1614,4a,Homer,Iliade,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1614,4b,Du Souhait,Le Ravissement d'Hélène,0,Googlebooks,0,45,rw,his,myth,somebodies,,,3,,0,,,,,,,,livres,3,,,,,,,,
1610s,1614,5,Moulinet,"Les Agréables Diversitez d'Amour, contenant cinq histoires tragiques de ce temps. Sur les adventures de Chrisaure et de Phinimène",0,BNF Arsenal,0,51,rw,uns,,nobodies,transposed,title,3,,i1,y,n,,,,,,0,,,,,,,,,
,1614,6,Oudin,L'Ingénieux Don Quixote de la Manche,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1614,7,Piloust,Le Tableau des Deserts Enchantez,0,BNF Arsenal,0,41,rw,uns,,nobodies,transposed,"pref, title",1,frame,i5,y,n,,,,,,0,,,,,,,,,
1610s,1614,8,Rosset,Histoires tragiques de notre temps,0,,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1614,9,suarez de Figueroa,La Constante Amarilis,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1614,10,Vega (Lope de),Diverses fortunes…,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1615,1,An,Les Ruses et finesses de trois chambrières de cette ville découverte par Triboulet,0,,length,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1615,2,An,Histoire plaisante et recreative de la belle Marquise fille de Saluste Roy d'Hongrie,0,,reprint,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1615,3,An,Les Triomphes d'Angélique et le temple d'Amour et de beauté,0,,non-plotted,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1615,4,An,Amadis 22,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1615,5,An,Amadis 23,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1615,6,An,Amadis 24,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1615,7,Audiguier,Histoire tragé-comique de notre temps sous les noms de Lysandre et de Caliste,0,Googlebooks,0,100,rw,con,,nobodies,fact,title,3,,0,,,,,,,,livres,10,,,,,,,,
1610s,1615,8,Balinghem,Apresdinées de Propos de table […],0,Googlebooks,0,94,rw,con,,nobodies,fact,incipit,3,,0,,,,,,,,après dinées,6,,,,,,,,
1610s,1615,9,Bellan,"Histoire memorable de Dias espagnol et de Quixaire, princesse des Moluques",0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1615,10,Chadirac,L’Uranie de Lucidor,0,BNF Arsenal,0,25,rw,con,,nobodies,ind,,3,,i4,y,n,,,,,,livres,4,,,,,,,,
1610s,1615,11,Du Lisdam,Les Fidelles et Constantes Amours de Lisdamas et de Cleonimphe,0,Googlebooks,0,55,rw,con,,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1610s,1615,12,Du Souhait,Histoire du ravissement d’Hélène et sujet de la guerre de Troye.,0,,reprint,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1615,13,Boccalini,,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1615,14,Favoral,Les Contes et discours facétieux,0,,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1615,15,Garasse,L’Anti-Joseph ou bien plaisant et fidelle narré,0,,length,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1615,16,Greene,,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1615,17,Ménou,,0,,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1615,18,Vion d'Alibray,Histoire comique ou les avantures de Fortunatus,0,,translation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1617,1,An,L'Entrée…,0,,length,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1617,2,Angoumois,Discours sur la conversion d'une dame mondaine,0,BNF Tolbiac,non-plotted,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610s,1617,3,Aubigné d',Les Avantures du baron de Faeneste,0,Googlebooks,0,62,rw,con,,nobodies,fact,pref,D,,0,,,,,,,,chaps d,69,,,,,,,,
1610s,1617,4,Boitel,"La Defaicte du faux amour par l'unique ds braves de ce temps, député par le soleil à l'execution d'un acte tant Héroique, en l'absence de Mars, Hercules, Mercure, Apollon, et Nestor; Dieux fugitifs du Ciel",0,Googlebooks,0,52,rw,his,myth,keyed somebodies,keyed,"key, title",3,,0,,,,,,,,0,,,,,,,,,
